Unnamed: 0,full_text,text_processed
655,Prabowo Subianto Apresiasi Kinerja Baznas https://t.co/8O2eHC5lVs,prabowo subianto apresiasi kerja baznas
656,@rasjawa Lah enggak gitu bang kita tu muak sama kinerja jelek prabowo gibran gak ngarep diganti capres apapun santai,gitu bang tu muak kerja jelek prabowo gibran gak ngarep ganti capres apa santai
657,Tadi malem nanya ke sodara yang emang kaya dari lahir (baca : gak pernah susah). Gimana tanggepan dia sama kinerja Prabowo dan UU TNI dia bilang gak ngerti. Gak ngikutin. Gak ngaruh juga ke gue . Padahal bapaknya juga kena dampak dari korupsinya Harvey moeis di Belitung awkwk,malem nanya sodara emang kaya lahir baca gak susah gimana tanggepan kerja prabowo uu tni bilang gak nge i gak ngikutin gak ngaruh gue bapak kena dampak korupsi harvey moeis belitung awkwk
658,Ayo kita lakukan Polling terhadap kinerja pemerintahan PRABOWO-GIBRAN secara obyektif tanpa rekayasa.,ayo laku polling kerja perintah prabowo gibran obyektif rekayasa
659,@Mdy_Asmara1701 Saya tidak puas kinerja presiden prabowo tidak menyentuh Sumber masalah,puas kerja presiden prabowo sentuh sumber
660,@AndreasSolusi Kalau kinerja pemerintah @prabowo bagus tidak mengecewakan ya gak bakal ada yg mencaci maki/mengkritik Menterinya saja GAK BECUS ngurus harga tiket mudik yg MAHAL tiket mudik bus AKAP biasanya 150 ribu naik jadi 400 ribu ,kerja perintah bagus kecewa ya gak yg caci maki kritik menteri gak becus ngurus harga tiket mudik yg mahal tiket mudik bus akap ribu ribu
661,@randomable_ @DivHumas_Polri @ListyoSigitP @prabowo 4. Tempel nomor telepon KPK/ BPK. jika ada PUNGLI / transaksi dibawah tangan maka masyarakat bisa melapor juga 5. Bikin aplikasi yang dilihat masyarakat luas tentang kasus aduan masyarakat yang menerangkan sejauh mana kasus dikerjakan atau tidaknya sehingga kinerja bisa ternilai,tempel nomor telepon kpk bpk pungli transaksi bawah tangan masyarakat lapor bikin aplikasi masyarakat luas adu masyarakat terang tidak kerja nilai
662,@ulatolet @Mdy_Asmara1701 @Mdy_Asmara1701 Pendapatku survei CigMark (27/3/25) menunjukkan 78% publik puas dengan kinerja semester pertama Prabowo-Gibran terutama di penanganan bencana (80 5%) dan pendidikan (&gt;74%). Tapi ekonomi (&gt;52% tak puas) dan tenaga kerja (44 4% tak puas) jadi sorotan. Ada kritik,dapat survei cigmark publik puas kerja semester pe ama prabowo gibran tangan bencana didik gt ekonomi gt puas tenaga kerja puas sorot kritik
663, Survei Cigmark: Mayoritas Publik Puas dengan Kinerja Prabowo-Gibran di Semester Pertama 🇮🇩 Lembaga survei Cigmark Research and Consulting merilis hasil survei terkait Evaluasi Kinerja Pemerintahan Prabowo-Gibran dan persepsi publik terhadap Dewan Pertimbangan Presiden https://t.co/1kGgquUbkW,survei cigmark mayoritas publik puas kerja prabowo gibran semester pe ama lembaga survei cigmark research and consulting rilis hasil survei kait evaluasi kerja perintah prabowo gibran persepsi publik dewan pe imbang presiden
664,Tapi masih ada orang bilang kinerja Teddy tuh bagus dan Prabowo taat konsitusi. Centong sayur padahal diangkat Teddy bikin seniornya iri karena prosesnya kehalang sama doi yang harusnya jadi letkol 2034 tapi bisa instan.,orang bilang kerja teddy tuh bagus prabowo taat konsitusi centong sayur angkat teddy bikin senior iri proses halang doi letkol instan
